,Company_Brand,Sector,Stage,Amount($),HeadQuarter,Year
393,GeoIQ,Technology,Pre-series A,300000.0,Bangalore,2020
394,Country Delight,Agriculture,Series C,25000000.0,Haryana,2020
395,Quintype,Business Intelligence,Series A,3500000.0,Bangalore,2020
396,CARS24,Commerce,Series E,200000000.0,Haryana,2020
397,Cityflo,Transport,Series A,7000000.0,Mumbai,2020
398,Credgenics,Finance,Pre-series A,3000000.0,Gurgaon,2020
399,Ensuredit,Finance,Pre-series A,300000.0,Gurgaon,2020
400,Shipsy,Technology,Series A,6000000.0,Gurgaon,2020
401,Yellow Classes,Education,Pre-series A,1300000.0,Gurgaon,2020
402,Country Delight,Food & Beverages,Series C,25000000.0,Haryana,2020
403,SignalX,Technology,Pre-series A,800000.0,Hyderabad,2020
404,Krimanshi,Health,Pre-series A,600000.0,Jodhpur,2020
405,Instoried,Technology,Pre-series A,1000000.0,Bangalore,2020
406,PlayerzPot,Manufacturing,Series A,3000000.0,Mumbai,2020
407,Arata,Commerce,Pre-series A,1000000.0,New Delhi,2020
408,Nepra,Technology,Series C,18000000.0,Ahmedabad,2020
409,MindTickle,Technology,Debt,100000000.0,Pune,2020
410,Slice,Finance,Debt,5000000.0,Bangalore,2020
411,Rapawalk,Commerce,Pre-series A,300000.0,Bangalore,2020
412,Clientjoy,Technology,Pre-series A,800000.0,Gujarat,2020
413,MoooFarm,Agriculture,Pre-series A,500000.0,Gurgaon,2020
414,BitClass,Technology,Pre-series A,2000000.0,Bangalore,2020
415,Gonuts,Media & Entertainment,Pre-series A,400000.0,Mumbai,2020
416,Uolo,Education,Pre-series A,2000000.0,Bangalore,2020
417,Kirana King,Commerce,Pre-series A,900000.0,Jaipur,2020
418,Jade Forest,Food & Beverages,Pre-series A,250000.0,New Delhi,2020
419,FrontRow,Education,Pre-series A,3200000.0,Bangalore,2020
420,Ather Energy,Technology,Series D,35000000.0,Bangalore,2020
421,Eggoz,Food & Beverages,Pre-series A,1500000.0,Indore,2020
422,CHARGE+ZONE,Manufacturing,Pre-series A,3000000.0,Gujarat,2020
423,Stones2milestones,Education,Bridge Round,2000000.0,Gurgaon,2020
424,Udacity,Education,Debt,75000000.0,California,2020
425,AjnaLens,Technology,Bridge Round,1000000.0,Thane,2020
426,Gully Network,Commerce,Pre-series A,1200000.0,Bangalore,2020
427,TurboHire,Business Intelligence,Pre-series A,1000000.0,Hyderabad,2020
428,Freshokartz,Agriculture,Pre-series A,1000000.0,Jaipur,2020
429,FlexiLoans,Finance,Debt,6000000.0,Mumbai,2020
430,FreshtoHome,Commerce,Series C,121000000.0,Bangalore,2020
431,Railofy,Transport,Pre-series A,5000000.0,Mumbai,2020
432,Teachmint,Education,Pre-series A,3500000.0,Bangalore,2020
433,Janani,Technology,Pre-series A,200000.0,Bangalore,2020
434,Credgenics,Finance,Pre-series A,3300000.0,Gurgaon,2020
435,Jumbotail,Commerce,Series B,11000000.0,Bangalore,2020
436,mCaffeine,Beauty & Fashion,Series B,5000000.0,Mumbai,2020
437,Pocket FM,Commerce,Series A,5000000.0,Bangalore,2020
438,Jumbotail,Commerce,Series B,11000000.0,Bangalore,2020
439,Origo,Agriculture,Debt,4000000.0,Gurgaon,2020
440,GetVantage,Finance,Pre-series A,5000000.0,Mumbai,2020
441,Betterplace,Technology,Series B,10000000.0,Bangalore,2020
442,Biddano,Health,Pre-series A,600000.0,Mumbai,2020
443,InVideo,Media & Entertainment,Series A,15000000.0,Mumbai,2020
444,Arzooo,Commerce,Series A,7500000.0,Bangalore,2020
445,Hubilo,Technology,Pre-series A,4500000.0,San Francisco,2020
446,BASIC Home Loan,Finance,Pre-series A,5000000.0,Gurgaon,2020
447,SUGAR cosmetics,Beauty & Fashion,Debt,2000000.0,Mumbai,2020
448,Tekion,Technology,Series C,150000000.0,San Ramon,2020
449,EzeRx,Education,Pre-series A,200000.0,Kolkata,2020
450,VitalTech,Technology,Pre-series A,3000000.0,Plano,2020
451,Ultraviolette Automotive,Technology,Series B,4000000.0,Bangalore,2020
452,Rare Planet,Commerce,Pre-series A,400000.0,Kolkata,2020
453,GoodGamer,Manufacturing,Pre-series A,2500000.0,Bangalore,2020
454,InnAccel,Education,Pre-series A,1500000.0,Bangalore,2020
455,HobSpace,Education,Pre-series A,200000.0,Mumbai,2020
456,Supplynote,Technology,Pre-series A,500000.0,Noida,2020
457,ShopUp,Commerce,Series A,22000000.0,Bangladesh,2020
458,Dukaan,Technology,Pre-series A,6000000.0,Mumbai,2020
459,Satyukt,Agriculture,Pre-series A,500000.0,Bangalore,2020
460,TREAD,LifeStyle,Pre-series A,1100000.0,Bangalore,2020
461,Anveshan,Food & Beverages,Pre-series A,100000.0,Bangalore,2020
462,TeaMonk,Food & Beverages,Pre-series A,900000.0,Bangalore,2020
463,Fleetx,Technology,Pre-series A,3000000.0,Gurgaon,2020
464,Avataa Me,Technology,Series A,7000000.0,Bangalore,2020
465,Clair,Finance,Pre-series A,4500000.0,New York,2020
466,Miko,Technology,Pre-series A,3000000.0,Mumbai,2020
467,Razorpay,Finance,Series D,100000000.0,Bangalore,2020
468,Wow! Momo,Food & Beverages,Debt,5000000.0,Kolkata,2020
469,Pepper Content,Commerce,Series A,4200000.0,Mumbai,2020
470,LIVSPACE,LifeStyle,Debt,4000000.0,Bangalore,2020
471,Acculi Labs,Health,Pre-series A,600000.0,Bangalore,2020
472,Unnati,Agriculture,Pre-series A,1700000.0,Noida,2020
473,Disprz,Education,Pre-series A,1600000.0,Chennai,2020
474,Uni,Finance,Pre-series A,18500000.0,Mumbai,2020
475,Credit Wise Capital,Finance,Pre-series A,6000000.0,Mumbai,2020
476,Chargebee,Technology,Series F,55000000.0,San Francisco,2020
477,Livve,Real Estate,Pre-series A,1500000.0,Kochi,2020
478,Ergos,Agriculture,Series A,5000000.0,Samastipur,2020
479,Krishitantra,Technology,Pre-series A,1000000.0,Hyderabad,2020
480,Monet Networks,Technology,Bridge Round,500000.0,Irvine,2020
481,NirogStreet,Technology,Pre-series A,2000000.0,Gurgaon,2020
482,Fanball XI,Manufacturing,Pre-series A,1000000.0,New Delhi,2020
483,GPS Renewables,Technology,Series A,3000000.0,Bangalore,2020
484,Legal Salah,Business Intelligence,Pre-series A,1000000.0,Kolkata,2020
485,Coralogix,Technology,Series B,25000000.0,San Francisco,2020
486,ShipsKart,Commerce,Pre-series A,200000.0,New Delhi,2020
487,SquadStack,Technology,Series A,5000000.0,San Francisco,2020
488,Financepeer,Education,Pre-series A,3000000.0,Mumbai,2020
489,Cashify,Commerce,Debt,10000000.0,Gurgaon,2020
490,Etrio,Manufacturing,Series A,3000000.0,Hyderabad,2020
491,StayQrious,Education,Pre-series A,2000000.0,Bangalore,2020
492,Sunstone Eduversity,Education,Series A,3000000.0,Gurgaon,2020
493,Infilect,Technology,Pre-series A,1500000.0,Bangalore,2020
494,Samunnati,Agriculture,Debt,20000000.0,Chennai,2020
495,Yummy Corp,Food & Beverages,Series B,12000000.0,Tangerang,2020
496,Smallcase,Finance,Series B,13400000.0,Bangalore,2020
497,Clairvolex,Technology,Debt,2000000.0,California,2020
498,Assiduus,Commerce,Series A,1000000.0,Bangalore,2020
499,Brinton,Health,Debt,1300000.0,California,2020
500,AFK Gaming,Media & Entertainment,Pre-series A,200000.0,Mumbai,2020
501,Infarm,Agriculture,Series C,170000000.0,Berlin,2020
502,Zuper,Technology,Pre-series A,1100000.0,Seattle,2020
503,mCaffeine,LifeStyle,Series B,2900000.0,Mumbai,2020
504,Origa,Finance,Debt,2000000.0,Andheri,2020
505,GullyBuy Software,Technology,Pre-series A,543000.0,Pune,2020
506,MPL,Media & Entertainment,Series C,90000000.0,Bangalore,2020
507,Penny,Technology,Pre-series A,1300000.0,Riyadh,2020
508,Onsitego,Hospitality,Series B,30000000.0,Mumbai,2020
509,SmartClean,Technology,Pre-series A,3400000.0,Singapore,2020
510,ClanConnect,Commerce,Pre-series A,600000.0,New Delhi,2020
511,Servify,Commerce,Series C,23000000.0,Mumbai,2020
512,ShareChat,Media & Entertainment,Pre-series A,40000000.0,Bangalore,2020
513,Rephrase.ai,Technology,Pre-series A,1500000.0,Bangalore,2020
514,Melorra,Beauty & Fashion,Debt,8090000.0,Bangalore,2020
515,FabHotels,Hospitality,Series B,1030000.0,Gurgaon,2020
516,EkAnek,Technology,Series B,5040000.0,New Delhi,2020
517,Cub McPaws,Technology,Pre-series A,800000.0,Mumbai,2020
518,Zimyo,Business Intelligence,Pre-series A,1500000.0,Gurgaon,2020
519,PumPumPum,Transport,Debt,360000.0,Gurgaon,2020
520,Moms Co,Health,Series B,8000000.0,Gurgaon,2020
521,DillyHub,Telecommunications,Pre-series A,1400000.0,Seoul,2020
522,FPL Technologies,Finance,Series A,10000000.0,Pune,2020
523,FITTR,LifeStyle,Pre-series A,2000000.0,Pune,2020
524,Illumnus,Education,Pre-series A,100000.0,Pune,2020
525,CashKaro,Commerce,Series B,10000000.0,Gurgaon,2020
526,Newton School,Education,Pre-series A,650000.0,Bangalore,2020
527,Airmeet,Technology,Series A,12000000.0,Bangalore,2020
528,Observe ai,Technology,Series B,54000000.0,San Francisco,2020
529,InCred,Finance,Debt,5000000.0,Mumbai,2020
530,Toppr,Education,Series D,35000000.0,Mumbai,2020
531,CarTrade,Commerce,Series H,42500000.0,Mumbai,2020
532,LEAD School,Technology,Series C,28000000.0,Mumbai,2020
533,Servify,Manufacturing,Series C,11370000.0,Mumbai,2020
534,Lido Learning,Education,Series B,7500000.0,Mumbai,2020
535,Apna.co,Business Intelligence,Series A,8000000.0,Bangalore,2020
536,Quintype Technologies,Technology,Series A,325000.0,Bangalore,2020
537,Dunzo,Technology,Series E,28000000.0,Bangalore,2020
538,Entropik,Technology,Series A,8000000.0,Bangalore,2020
539,Livspace,LifeStyle,Series D,9000000.0,Bangalore,2020
540,Ultraviolette Automotive,Manufacturing,Series B,410000.0,Bangalore,2020
541,WinZO,Manufacturing,Series B,18000000.0,New Delhi,2020
542,SenseHawk,Energy,Series A,5000000.0,Bangalore,2020
543,Railofy,Transport,Pre-series A,900000.0,Mumbai,2020
544,Eloelo,Commerce,Pre-series A,450000.0,Bangalore,2020
545,Aibono,Agriculture,Pre-series A,2000000.0,Bangalore,2020
546,BuildPan,Technology,Pre-series A,500000.0,Indore,2020
547,Homelane,LifeStyle,Bridge Round,8000000.0,Bangalore,2020
548,MyGlamm,Beauty & Fashion,Series B,1000000.0,Mumbai,2020
549,Aviom,Finance,Debt,682000.0,New Delhi,2020
550,Flinto,Education,Pre-series A,7000000.0,Chennai,2020
551,WayCool,Agriculture,Series C,5060000.0,Chennai,2020
552,YAP,Technology,Series A,4050000.0,Chennai,2020
553,Big Bang Boom Solutions,Technology,Series A,1050000.0,Chennai,2020
554,GUVI,Education,Series A,800000.0,Chennai,2020
555,BluSmart,Energy,Pre-series A,7000000.0,Gurgaon,2020
556,MPL,Media & Entertainment,Series B,50000000.0,Bangalore,2020
557,Spoonshot,Commerce,Series A,1000000.0,Bangalore,2020
558,Pulse,Finance,Pre-series A,750000.0,Mumbai,2020
559,Groww,Finance,Series C,30000000.0,Bangalore,2020
560,i3 Systems,Finance,Pre-series A,1050000.0,Mumbai,2020
561,SOAL,Education,Series A,1000000.0,Mumbai,2020
562,OckyPocky,Education,Pre-series A,400000.0,Gurgaon,2020
563,Hippo Video,Media & Entertainment,Series A,4000000.0,New York,2020
564,Hasura,Technology,Series B,25000000.0,San Francisco,2020
565,Qapita,Finance,Pre-series A,1080000.0,Singapore,2020
566,Sunday,Finance,Pre-series A,9000000.0,Bangkok,2020
567,Gamezop,Manufacturing,Series A,4300000.0,Gurgaon,2020
568,Phool.co,Health,Pre-series A,1400000.0,Kannur,2020
569,IDfy,Technology,Series A,2110000.0,Mumbai,2020
570,MechMocha,Media & Entertainment,Series A,292000.0,Bangalore,2020
571,Tracxn,Finance,Series B,887000.0,Bangalore,2020
572,CredoLab,Technology,Series A,7000000.0,Singapore,2020
573,Brick&Bolt,Real Estate,Series A,2200000.0,Bangalore,2020
574,Bikayi,Commerce,Pre-series A,2000000.0,Hyderabad,2020
575,TrulyMadly Matchmakers,Media & Entertainment,Pre-series A,110000.0,Gurgaon,2020
576,TrueFan,Media & Entertainment,Pre-series A,4300000.0,Mumbai,2020
577,Avail Finance,Finance,Series B,11635000.0,Bangalore,2020
578,Virohan,Education,Series A,2800000.0,Gurgaon,2020
579,LEAD School,Education,Series C,28000000.0,Mumbai,2020
580,Trell,Commerce,Series A,11000000.0,Bangalore,2020
581,Captain Fresh,Transport,Pre-series A,2300000.0,Bangalore,2020
582,Pixxel,Technology,Pre-series A,5000000.0,Bangalore,2020
583,SmarterBiz,Technology,Pre-series A,1065000.0,Bangalore,2020
584,FPL Technologies,Finance,Series A,10000000.0,Pune,2020
585,Masai School,Education,Series A,2500000.0,Bangalore,2020
586,Mitron,Media & Entertainment,Series A,5000000.0,Bangalore,2020
587,LendingKart,Finance,Series D,16076000.0,Ahmedabad,2020
588,GrayQuest,Education,Pre-series A,1000000.0,Mumbai,2020
589,BigHaat,Agriculture,Pre-series A,2000000.0,Bangalore,2020
590,CityCash,Finance,Pre-series A,1000000.0,Mumbai,2020
591,HomeLane,LifeStyle,Series D,1000000.0,Chennai,2020
592,HungerBox,Food & Beverages,Series C,6700000.0,Bangalore,2020
593,Eduvanz,Finance,Series A,5000000.0,Mumbai,2020
594,DocSumo,Technology,Pre-series A,220000.0,Mumbai,2020
595,Chingari,Media & Entertainment,Pre-series A,1300000.0,Bangalore,2020
596,Bolo Indya,Media & Entertainment,Pre-series A,300000.0,Gurgaon,2020
597,Wobot Intelligence,Technology,Pre-series A,2500000.0,New Delhi,2020
598,DrinkPrime,Manufacturing,Pre-series A,2879000.0,Bangalore,2020
599,Rebel Foods,Food & Beverages,Series E,26500000.0,Mumbai,2020
600,Hevo,Technology,Series A,8000000.0,Bangalore,2020
601,BigSpoon Foods,Food & Beverages,Pre-series A,2000000.0,Ahmedabad,2020
602,Chingari,Media & Entertainment,Pre-series A,1000000.0,Bangalore,2020
603,Toppr,Education,Series D,46761000.0,Mumbai,2020
604,Pickright Technologies,Finance,Pre-series A,175000.0,Bangalore,2020
605,Entri,Education,Pre-series A,1700000.0,Kochi,2020
606,MPowered,Technology,Pre-series A,21000000.0,Gurgaon,2020
607,Ather Energy,Technology,Series C,11241000.0,Bangalore,2020
608,Vegrow,Agriculture,Pre-series A,2500000.0,Bangalore,2020
609,StyleDotMe,Beauty & Fashion,Pre-series A,467000.0,Gurgaon,2020
610,Vedantu,Education,Series D,100000000.0,Bangalore,2020
611,Yumlane,Technology,Pre-series A,1000000.0,Mumbai,2020
612,Plum,Health,Pre-series A,927000.0,Bangalore,2020
613,IncNut Digital,Commerce,Series A,4000000.0,Hyderabad,2020
614,GigIndia,Technology,Pre-series A,971000.0,Pune,2020
615,Piggy Ride,Technology,Pre-series A,1862000.0,Bangalore,2020
616,Cuemath,Education,Series B,2888000.0,Bangalore,2020
617,Blue Sky Analytics,Technology,Pre-series A,1200000.0,Gurgaon,2020
618,Decentro,Finance,Series A,15500000.0,Bangalore,2020
619,Zolostays,LifeStyle,Series C,56000000.0,Bangalore,2020
620,Frontier Markets,Commerce,Pre-series A,2250000.0,Jaipur,2020
621,Aye Finance,Finance,Series E,16753000.0,Gurgaon,2020
622,Forbidden Foods,Food & Beverages,Pre-series A,1000000.0,New Delhi,2020
623,Gobbly,Commerce,Pre-series A,500000.0,Gurgaon,2020
624,Mitron,Media & Entertainment,Pre-series A,267000.0,Bangalore,2020
625,Inspektlabs,Technology,Pre-series A,600000.0,New Delhi,2020
626,Big Bang Boom Solutions,Government,Series A,1000000.0,Chennai,2020
627,Flinto,Education,Pre-series A,7200000.0,Chennai,2020
628,Zetwerk,Commerce,Series C,21000000.0,Bangalore,2020
629,ChitMonks,Finance,Pre-series A,650000.0,Hyderabad,2020
630,goDutch,Finance,Pre-series A,1700000.0,Mumbai,2020
631,High Street Essentials,Commerce,Pre-series A,2743000.0,New Delhi,2020
632,Slice,Finance,Pre-series A,6082000.0,Bangalore,2020
633,Bombay Play,Manufacturing,Pre-series A,1500000.0,Bangalore,2020
634,Aye Finance,Finance,Series E,27700000.0,Gurgaon,2020
635,Drishti Technologies,Technology,Series B,25000000.0,Bangalore,2020
636,Instasolv,Education,Pre-series A,2000000.0,Noida,2020
637,Jai Kisan,Finance,Pre-series A,3937000.0,Mumbai,2020
638,Edvizo,Education,Pre-series A,150000.0,Bangalore,2020
639,Servify,Technology,Series C,11370000.0,Mumbai,2020
640,Waycool,Agriculture,Series C,5500000.0,Chennai,2020
641,Ameliorate Biotech,Health,Angel Round,264000.0,Bangalore,2020
642,HealthPlix,Health,Series B,6000000.0,Bangalore,2020
643,YoloBus,Transport,Series A,3300000.0,Gurgaon,2020
644,Pocket52,Manufacturing,Series A,1750000.0,Bangalore,2020
645,Wooden Street,Commerce,Series A,3000000.0,Jaipur,2020
646,BankBazaar,Finance,Series D,5967000.0,Chennai,2020
647,Knorish,Education,Pre-series A,323000.0,New Delhi,2020
648,Cube Wealth,Technology,Series B,500000.0,Mumbai,2020
649,IVF Access,Health,Series A,5000000.0,Bangalore,2020
650,Hoi Foods,Food & Beverages,Pre-series A,2000000.0,New Delhi,2020
651,Ola Financial Services,Finance,Series A,27000000.0,Bangalore,2020
652,Toch,Technology,Pre-series A,1000000.0,Mumbai,2020
653,Euler Motors,Transport,Series A,2530000.0,New Delhi,2020
654,Khatabook,Finance,Series B,60000000.0,Bangalore,2020
655,LendingKart,Finance,Series D,11363000.0,Ahmedabad,2020
656,Eggoz,Agriculture,Pre-series A,329000.0,Bihar,2020
657,Indian School Finance Company,Finance,Pre-series A,5271000.0,Hyderabad,2020
658,Intello Labs,Commerce,Series A,5900000.0,Gurgaon,2020
659,SirionLabs,Technology,Series C,44000000.0,Gurgaon,2020
660,Refrens,Technology,Pre-series A,1000000.0,Bangalore,2020
661,Mintoak,Finance,Pre-series A,2000000.0,Mumbai,2020
662,Vernacular ai,Technology,Series A,5100000.0,Bangalore,2020
663,Varthana,Finance,Series D,15000000.0,Bangalore,2020
664,Rooter,Manufacturing,Pre-series A,1700000.0,New Delhi,2020
665,Pratilipi,Media & Entertainment,Series C,9400000.0,Bangalore,2020
666,Biryani By Kilo,Food & Beverages,Series B,790000.0,New Delhi,2020
667,Tessol,Transport,Series A,160000.0,Mumbai,2020
668,Classplus,Education,Series B,8200000.0,New Delhi,2020
669,MYSUN,Technology,Pre-series A,4257000.0,New Delhi,2020
670,NewsBytes,Media & Entertainment,Series A,1500000.0,Gurgaon,2020
671,Convosight,Business Intelligence,Pre-series A,4000000.0,Hyderabad,2020
672,Bira91,Food & Beverages,Series C,20000000.0,Bangalore,2020
673,Guvi Geek Network Pvt Ltd,Education,Pre-series A,786000.0,Chennai,2020
674,LoadShare,Transport,Series B,2004000.0,Bangalore,2020
675,Vedantu,Education,Series C,6800000.0,Bangalore,2020
676,Spintly,Technology,Pre-series A,248000.0,Goa,2020
677,Bijak,Agriculture,Series A,12000000.0,Gurgaon,2020
678,Yap,Finance,Series A,4500000.0,Chennai,2020
679,ITILITE,Hospitality,Series B,13000000.0,Bangalore,2020
680,Aavenir,Technology,Pre-series A,2000000.0,Ahmedabad,2020
681,Yellow Messenger,Technology,Series B,20000000.0,Bangalore,2020
682,Wellthy Therapeutics,Health,Pre-series A,4000000.0,Bangalore,2020
683,FarEye,Transport,Series D,24500000.0,New Delhi,2020
684,BankBazaar,Finance,Series D,3800000.0,Chennai,2020
685,Porter,Transport,Series D,18370000.0,Mumbai,2020
686,Capital Float,Finance,Series F,4800000.0,Bangalore,2020
687,Vedantu,Education,Series C,12500000.0,Bangalore,2020
688,Lido Learning,Education,Series B,7500000.0,Mumbai,2020
689,Swiggy,Food & Beverages,Series A,43000000.0,Bangalore,2020
690,JusPay,Finance,Series B,21600000.0,Bangalore,2020
691,Fingpay,Finance,Series A,3500000.0,Mumbai,2020
692,Recko,Technology,Series A,6000000.0,Bangalore,2020
693,Camp K12,Education,Pre-series A,4000000.0,Gurgaon,2020
694,MedGenome,Health,Series D,55000000.0,Bangalore,2020
695,CureFit,LifeStyle,Series D,115000000.0,Bangalore,2020
696,Design X,Technology,Pre-series A,200000.0,Noida,2020
697,Imstrong,LifeStyle,Pre-series A,400000.0,Bangalore,2020
698,QTalk,Technology,Pre-series A,1600000.0,Bangalore,2020
699,Shadez,LifeStyle,Pre-series A,100000.0,Mumbai,2020
700,Stanplus,Health,Pre-series A,1500000.0,Hyderabad,2020
701,Pitstop,Technology,Series A,2500000.0,Bangalore,2020
702,CoreStack,Technology,Series A,8500000.0,Chennai,2020
703,Vivriti Capital,Finance,Series B,50000000.0,Chennai,2020
704,Agnikul,Technology,Pre-series A,3148000.0,Chennai,2020
705,ZunRoof,Technology,Series A,3000000.0,Gurgaon,2020
706,FamPay,Finance,Pre-series A,4700000.0,Bangalore,2020
707,UnboxRobotics Labs,Manufacturing,Pre-series A,500000.0,Bangalore,2020
708,Karbon Card,Finance,Pre-series A,2000000.0,Bangalore,2020
709,Strata,Technology,Pre-series A,1500000.0,Bangalore,2020
710,Salesken,Technology,Series A,8000000.0,Bangalore,2020
711,Arya,Agriculture,Series B,6000000.0,Noida,2020
712,Tricog,Health,Series B,10500000.0,Bangalore,2020
713,Trell,Commerce,Pre-series A,4000000.0,Bangalore,2020
714,Spaciya Consultants,Real Estate,Pre-series A,500000.0,Noida,2020
715,Chqbook,Finance,Series A,5000000.0,Gurgaon,2020
716,SMEcorner,Finance,Series B,30000000.0,Mumbai,2020
717,Spinny,Commerce,Series B,43700000.0,Haryana,2020
718,Umeed Housing,Finance,Series D,23000000.0,Haryana,2020
719,Vogo,Transport,Series C,20000000.0,Bangalore,2020
720,Flick Stree,Media & Entertainment,Series A,3000000.0,Mumbai,2020
721,Josh Talks,Media & Entertainment,Pre-series A,1500000.0,Haryana,2020
722,AjnaLens,Technology,Pre-series A,1500000.0,Thane,2020
723,Pepper,Commerce,Pre-series A,306900.0,Mumbai,2020
724,iMerit,Technology,Series B,20000000.0,Kolkata,2020
725,BharatPe,Finance,Series C,75000000.0,New Delhi,2020
726,Near Store,Commerce,Pre-series A,300000.0,Mumbai,2020
727,Prayaan Capital,Finance,Pre-series A,1200000.0,Chennai,2020
728,Sanfe,Health,Pre-series A,1100000.0,New Delhi,2020
729,Go Desi,Food & Beverages,Pre-series A,627300.0,New Delhi,2020
730,Swiggy,Food & Beverages,Series A,113000000.0,Bangalore,2020
731,Whatfix,Technology,Series C,32000000.0,Bangalore,2020
732,Unacademy,Education,Series E,110000000.0,Bangalore,2020
733,Yolo,Transport,Pre-series A,600000.0,Gurgaon,2020
734,MaxWholesale,Commerce,Series A,3000000.0,New Delhi,2020
735,Simsim,Commerce,Series B,8000000.0,Bangalore,2020
736,Shuttl,Transport,Series C,7975700.0,New Delhi,2020
737,Vedantu,Education,Series C,24000000.0,Bangalore,2020
738,Clover,Agriculture,Series A,5500000.0,Bangalore,2020
739,CodingNinjas,Education,Series A,5200000.0,New Delhi,2020
740,Furlenco,Commerce,Series C,2200000.0,Bangalore,2020
741,MoEngage,Commerce,Series C,25000000.0,Bangalore,2020
742,Pepperfry,Commerce,Series F,40000000.0,Mumbai,2020
743,FirstCry,Commerce,Series E,296000000.0,Pune,2020
744,Waycool,Agriculture,Series C,32000000.0,Chennai,2020
745,Leap India,Agriculture,Series B,30000000.0,Coimbatore,2020
746,Dot Pvt. Ltd,Finance,Pre-series A,8000000.0,Gurgaon,2020
747,Kuku FM,Media & Entertainment,Series A,5500000.0,Mumbai,2020
748,SuperMoney,Finance,Pre-series A,1000000.0,Mumbai,2020
749,Entri,Education,Pre-series A,1400000.0,Kochi,2020
750,Doubtnut,Education,Series A,15000000.0,Gurgaon,2020
751,Kisan Network,Agriculture,Pre-series A,3000000.0,Gurgaon,2020
752,Vogo,Transport,Series C,35000000.0,Bangalore,2020
754,WizKlub,Education,Pre-series A,982530.0,Bangalore,2020
755,Interviewbit,Education,Series A,200000000.0,Pune,2020
756,INdwealth,Finance,Series C,12000000.0,Gurgaon,2020
757,Bizongo,Commerce,Series C,30000000.0,Mumbai,2020
758,AppsFlyer,Technology,Series D,210000000.0,Bangalore,2020
759,Livspace,LifeStyle,Series D,60000000.0,Bangalore,2020
760,Samosa Singh,Food & Beverages,Series A,2700000.0,Bangalore,2020
761,Crysta,Health,Pre-series A,1403400.0,New Delhi,2020
762,Eupheus Learning,Education,Series A,4300000.0,New Delhi,2020
763,Bounce,Transport,Series D,105000000.0,Bangalore,2020
764,Goodmylk,Agriculture,Pre-series A,400000.0,Bangalore,2020
765,Zoomcar,Transport,Series D,30000000.0,Bangalore,2020
766,Mera Cashier,Finance,Pre-series A,250000.0,Noida,2020
767,Monech,Finance,Pre-series A,12700.0,Mumbai,2020
768,Extra Edge,Education,Pre-series A,700000.0,Pune,2020
769,Karfa,Commerce,Pre-series A,25000.0,New Delhi,2020
770,Bounce,Transport,Series D,97500000.0,Bangalore,2020
771,Zinier,Manufacturing,Series C,90000000.0,Bangalore,2020
772,ProEves,Health,Pre-series A,507000.0,New Delhi,2020
773,Ninjacart,Commerce,Series C,10000000.0,Bangalore,2020
774,Wysh,Commerce,Series A,2000000.0,Hyderabad,2020
775,Keito,Technology,Pre-series A,160000.0,Pune,2020
776,Axio Biosolutions,Education,Series B,5200000.0,Bangalore,2020
777,HighRadius,Technology,Series B,125000000.0,Hyderabad,2020
778,Rivigo,Transport,Series F,3400000.0,Gurgaon,2020
779,Super Surfaces,LifeStyle,Series A,500000.0,Hyderabad,2020
780,GoMechanic,Technology,Series B,14700000.0,New Delhi,2020
781,Fashor,Beauty & Fashion,Pre-series A,1000000.0,Chennai,2020
782,Shuttl,Transport,Series C,8043000.0,New Delhi,2020
783,Pando,Technology,Series A,9000000.0,Chennai,2020
784,Unbox Robotics,Technology,Pre-series A,1200000.0,Bangalore,2021
785,Lead School,Education,Series D,30000000.0,Mumbai,2021
786,Bizongo,Commerce,Series C,51000000.0,Mumbai,2021
787,FypMoney,Finance,Pre-series A,2000000.0,Gurgaon,2021
788,Fitterfly,Health,Pre-series A,3000000.0,Mumbai,2021
789,MyDentalPlan,Health,Pre-series A,700000.0,Bangalore,2021
790,ORAI,Technology,Pre-series A,400000.0,Bangalore,2021
791,ixamBee,Education,Pre-series A,300000.0,New Delhi,2021
792,CoinSwitch Kuber,Finance,Series B,25000000.0,Bangalore,2021
793,Razorpay,Finance,Series E,160000000.0,Bangalore,2021
794,ZFW Hospitality,Food & Beverages,Pre-series A,150000.0,New Delhi,2021
795,Optimized Electrotech,Transport,Pre-series A,1800000.0,Ahmedabad,2021
796,Chara,Technology,Pre-series A,850000.0,Bangalore,2021
797,Sirona Hygiene,Health,Series A,3000000.0,New Delhi,2021
798,Pristyn Care,Health,Series D,53000000.0,Gurgaon,2021
799,TrulyMadly,Media & Entertainment,Pre-series A,2000000.0,New Delhi,2021
800,Jambox Games,Manufacturing,Pre-series A,1100000.0,Bangalore,2021
801,SuperK,Commerce,Pre-series A,800000.0,Andhra Pradesh,2021
802,TagZ Foods,Food & Beverages,Pre-series A,500000.0,Bangalore,2021
803,Puresh Daily,Agriculture,Pre-series A,100000.0,Ranchi,2021
804,LimeChat,Technology,Pre-series A,7500000.0,Faridabad,2021
805,Dybo,Technology,Pre-series A,100000.0,Bangalore,2021
806,moEVing,Transport,Pre-series A,1000000.0,Gurgaon,2021
807,Solethreads,Beauty & Fashion,Series A,1000000.0,Gurgaon,2021
808,CredFlow,Finance,Pre-series A,2000000.0,New Delhi,2021
809,PlayShifu,Education,Series B,17000000.0,Bangalore,2021
810,Pitstop,Transport,Pre-series A,3500000.0,Bangalore,2021
